occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q484876,chief executive officer,highest-ranking corporate officer
http://www.wikidata.org/entity/Q970153,child actor,child acting on stage or in motion pictures or television
http://www.wikidata.org/entity/Q63798374,children's book illustrator,someone who makes illustrations for children's books
http://www.wikidata.org/entity/Q4853732,children's writer,writer of literature targeted primarily at children
http://www.wikidata.org/entity/Q2490358,choreographer,person who creates choreographies
http://www.wikidata.org/entity/Q222344,cinematographer,chief over the camera and lighting crews working on a film
http://www.wikidata.org/entity/Q41583,coach,"person involved in directing, instructing and training sportspeople"
http://www.wikidata.org/entity/Q152355,cobbler,person who makes or repairs shoes
http://www.wikidata.org/entity/Q22343478,collagist,visual artist who creates collages
http://www.wikidata.org/entity/Q3243461,collector,person whose occupation or hobby is collecting things
http://www.wikidata.org/entity/Q1086863,columnist,"someone who writes for publication in a series, creating an article that usually offers commentary and opinions"
http://www.wikidata.org/entity/Q245068,comedian,"person who seeks to entertain an audience, primarily by making them laugh"
http://www.wikidata.org/entity/Q715301,comics artist,person who creates the artwork for comics
http://www.wikidata.org/entity/Q109517242,comics creator,person who creates comics
http://www.wikidata.org/entity/Q63346805,commercial artist,artist who creates works to promote commercial products or services
http://www.wikidata.org/entity/Q88213565,company founder,person who has founded or co-founded a company
http://www.wikidata.org/entity/Q36834,composer,person who is an author of music in any form
http://www.wikidata.org/entity/Q82594,computer scientist,one who studies or practises computer science
http://www.wikidata.org/entity/Q21550489,conceptual artist,artist involved with conceptual arts
http://www.wikidata.org/entity/Q446966,conservator,professional responsible for the preservation of artistic and cultural artifacts
http://www.wikidata.org/entity/Q15978655,consultant,professional who provides advice in their specific field of expertise; for property consultant use Q124728671; for adviser who is part of leadership use Q2994387
http://www.wikidata.org/entity/Q21477194,contemporary artist,artist of the 20th century or in the 21st century
http://www.wikidata.org/entity/Q109459317,content creator,occupation involving creating online media content for a profession
http://www.wikidata.org/entity/Q156839,cook,occupation involving cooking food
http://www.wikidata.org/entity/Q1155838,correspondent,journalist contributing reports from a remote location
http://www.wikidata.org/entity/Q1433105,corsetmaker,profession
http://www.wikidata.org/entity/Q2752318,cosmetologist,"person who performs cosmetic treatments to hair, skin, and nails"
http://www.wikidata.org/entity/Q18810049,cosplayer,one who takes part in cosplay
http://www.wikidata.org/entity/Q1323191,costume designer,"person who designs costumes for a film, stage production or television show"
http://www.wikidata.org/entity/Q51095439,costume historian,person who studies the history of costume and clothing
http://www.wikidata.org/entity/Q1690874,coxswain,member who steers the boat in a rowing crew
http://www.wikidata.org/entity/Q667982,creative director,designation in entertainment or advertising industries
http://www.wikidata.org/entity/Q12369034,creative director,professional in charge of the overall design direction or marketing in any type of organization
http://www.wikidata.org/entity/Q2500638,creator,person who does creative work
http://www.wikidata.org/entity/Q2159907,criminal,person who has committed a crime
http://www.wikidata.org/entity/Q6430706,critic,professional who makes a living communicating their opinions and assessments of various forms of creative work
http://www.wikidata.org/entity/Q13382608,cross-country skier,sportsperson taking part in cross-country skiing competitions
http://www.wikidata.org/entity/Q674426,curator,content specialist charged with a museum's collections and involved with the interpretation of heritage material
http://www.wikidata.org/entity/Q17516936,curler,sportsperson that plays curling
http://www.wikidata.org/entity/Q51751308,curling coach,
http://www.wikidata.org/entity/Q5716684,dancer,person who uses their body to express themselves through movement and dance
http://www.wikidata.org/entity/Q27349,dentist,healthcare occupation
http://www.wikidata.org/entity/Q5322166,designer,person who designs
http://www.wikidata.org/entity/Q18939491,diarist,person who writes a personal journal
http://www.wikidata.org/entity/Q111263847,digital creator,person who creates digital content on various subjects
http://www.wikidata.org/entity/Q193391,diplomat,person appointed by a state to conduct diplomacy with another state or international organization
http://www.wikidata.org/entity/Q3455803,director,director of a creative work
http://www.wikidata.org/entity/Q1162163,director,person who leads a particular area of a company or organization
http://www.wikidata.org/entity/Q130857,disc jockey,person who plays recorded music for an audience
http://www.wikidata.org/entity/Q462390,docent,person who teaches at universities and educational institutions
http://www.wikidata.org/entity/Q1235146,documentary filmmaker,director or producer of documentary films
http://www.wikidata.org/entity/Q18617002,dollmaker,person who makes dolls
http://www.wikidata.org/entity/Q337084,drag queen,artist who dresses and acts with exaggerated femininity for performance purposes
http://www.wikidata.org/entity/Q593362,draper,cloth merchant
http://www.wikidata.org/entity/Q15296811,drawer,person who makes drawings (artist/cartoonist/drafter/illustrator)
http://www.wikidata.org/entity/Q2034021,dressmaker,person who makes custom clothing for men and women
http://www.wikidata.org/entity/Q10384029,drug trafficker,unlicensed dealer in illegal drugs
http://www.wikidata.org/entity/Q386854,drummer,percussionist who creates and accompanies music using drums
http://www.wikidata.org/entity/Q188094,economist,professional in the discipline of economics
http://www.wikidata.org/entity/Q876864,editing staff,employee who takes on editorial tasks within the media
http://www.wikidata.org/entity/Q1607826,editor,person who edits texts or publications; for book editor use Q124634523; for journal editor use Q124634459
http://www.wikidata.org/entity/Q589298,editor-in-chief,publication's editorial leader
http://www.wikidata.org/entity/Q3024627,editorial cartoonist,artist drawing editorial cartoons that contain political or social commentary
http://www.wikidata.org/entity/Q974144,educator,"occupation which teaches others knowledge, skills, and habits"
http://www.wikidata.org/entity/Q1757970,elder,position or title conferred as authority based on being older or wiser
http://www.wikidata.org/entity/Q1509440,embroiderer,person engaged in embroidery
http://www.wikidata.org/entity/Q55986349,enduro rider,participant in the sport of enduro
http://www.wikidata.org/entity/Q81096,engineer,professional practitioner of engineering
http://www.wikidata.org/entity/Q329439,engraver,craftsman with the profession of engraving
http://www.wikidata.org/entity/Q138858,entertainer,"person using acting, singing, etc. to entertain an audience"
http://www.wikidata.org/entity/Q131524,entrepreneur,"business legal entity which organizes and operates an enterprise, in order to conduct economic activity"
http://www.wikidata.org/entity/Q3578589,environmentalist,someone who supports the goals of the environmental movement
http://www.wikidata.org/entity/Q2730732,equestrian,sportsperson who rides horses
http://www.wikidata.org/entity/Q3286043,erotic photography model,model who poses nude for erotic or sensual photos
http://www.wikidata.org/entity/Q11774202,essayist,person who writes essays
http://www.wikidata.org/entity/Q10862983,etcher,"artist who practices the ""art of etching"""
http://www.wikidata.org/entity/Q12347522,ethnographer,person who is dealing with ethnography
http://www.wikidata.org/entity/Q1371378,ethnologist,profession
http://www.wikidata.org/entity/Q978044,executive,higher level corporate position generally charged with leading or overseeing others
http://www.wikidata.org/entity/Q1053574,executive producer,filmmaking profession
http://www.wikidata.org/entity/Q780596,exhibition curator,person in charge of organising an exhibition
http://www.wikidata.org/entity/Q381160,expert,person with broad and profound competence in a particular field
http://www.wikidata.org/entity/Q62091180,factory draughtsman,profession in the 18th century
http://www.wikidata.org/entity/Q131512,farmer,"person engaged in agriculture, raising living organisms for food or raw materials"
http://www.wikidata.org/entity/Q12684,fashion,"popular style or practice in clothing, personal adornment, or decorative arts"
http://www.wikidata.org/entity/Q28008159,fashion blogger,blogger of topics related to the world of fashion
http://www.wikidata.org/entity/Q29583,fashion design,art of the application of design and aesthetics to clothing and accessories
http://www.wikidata.org/entity/Q3501317,fashion designer,one who designs clothing and related items
http://www.wikidata.org/entity/Q43580060,fashion director,Someone who designs fashion concepts and a fashion vision
http://www.wikidata.org/entity/Q5436767,fashion editor,"person who supervises the process of creating, developing and presenting content for the fashion department of a magazine, Web site, newspaper or television program"
http://www.wikidata.org/entity/Q28950371,fashion historian,person who studies the history of fashion
http://www.wikidata.org/entity/Q27943388,fashion illustrator,person who creates drawings or paintings of fashionable clothing and accessories for advertising or editorial use
http://www.wikidata.org/entity/Q105312982,fashion illustrators,
http://www.wikidata.org/entity/Q55611490,fashion influencer,person who influences fashion through social media
http://www.wikidata.org/entity/Q3357567,fashion model,modelling profession
http://www.wikidata.org/entity/Q27943370,fashion person,person active in the world of fashion
http://www.wikidata.org/entity/Q19698265,fashion photographer,person who photographs fashion items
http://www.wikidata.org/entity/Q113109,fashion tailor,"profession of tailoring, which deals with the design and manufacture of garments"
http://www.wikidata.org/entity/Q34074720,feminist,person who supports or (and) practices feminism
http://www.wikidata.org/entity/Q117325133,fiber artist,person who creates art objects with natural or synthetic fiber such as fabric or yarn
http://www.wikidata.org/entity/Q13219587,figure skater,sportsperson who takes part in figure skating tournaments
http://www.wikidata.org/entity/Q10800557,film actor,actor who appears in films
http://www.wikidata.org/entity/Q2526255,film director,person who directs a film
http://www.wikidata.org/entity/Q7042855,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture"
http://www.wikidata.org/entity/Q3282637,film producer,person supervising the making of a film
http://www.wikidata.org/entity/Q1414443,filmmaker,creator of a cinematic work
http://www.wikidata.org/entity/Q1416279,financial analyst,person who performs financial analysis
http://www.wikidata.org/entity/Q56628386,founding director,"director, who also founded the initiative or organisation"
http://www.wikidata.org/entity/Q18617021,freestyle skier,sportsperson taking part in freestyle skiing competitions
http://www.wikidata.org/entity/Q11455387,furniture designer,one who creates furniture or designs for its manufacture
http://www.wikidata.org/entity/Q2295938,furrier,person who makes or sells clothing and other articles from fur and animal skins
http://www.wikidata.org/entity/Q20771242,gallerist,owner of a gallery
http://www.wikidata.org/entity/Q3630699,game designer,person who designs games
http://www.wikidata.org/entity/Q1210069,general manager,oversees a firm's day-to-day business operations
http://www.wikidata.org/entity/Q2865798,glass artist,one who practises glass arts
http://www.wikidata.org/entity/Q15095148,graffiti artist,artist who specializes in graffiti
http://www.wikidata.org/entity/Q4845479,grand couturier,fashion designer who is a member of the French Chambre syndicale de la haute couture
http://www.wikidata.org/entity/Q1925963,graphic artist,"artist who makes lines on paper through various drawing and print techniques, or the digital equivalent"
http://www.wikidata.org/entity/Q627325,graphic designer,"professional who assembles images, typography or motion graphics to create a piece of design"
http://www.wikidata.org/entity/Q1328668,gravure idol,"Japanese female model who models for magazines, photobooks or movies, intended to be provocative or suggestive"
http://www.wikidata.org/entity/Q855091,guitarist,musician who plays the guitar
http://www.wikidata.org/entity/Q17305512,haberdasher,person who sells small articles for sewing
http://www.wikidata.org/entity/Q55187,hairdresser,person whose occupation is to cut or style hair
http://www.wikidata.org/entity/Q1639239,hatter,person engaged in hatmaking
http://www.wikidata.org/entity/Q4182948,head of department,manager of a university department
http://www.wikidata.org/entity/Q96036530,health activist,person campaigning in favour of health and access to health care
http://www.wikidata.org/entity/Q26701778,health administrator,administrator working in the health sector
http://www.wikidata.org/entity/Q67200504,heavy metal singer,singer that sings heavy metal songs
http://www.wikidata.org/entity/Q201788,historian,scholar who deals with the exploration and presentation of history
http://www.wikidata.org/entity/Q1476215,human rights activist,person who acts to protect human rights
http://www.wikidata.org/entity/Q2239540,human trafficker,person engaging in human trafficking
http://www.wikidata.org/entity/Q22336956,humanitarian,person dedicated to the help of people
http://www.wikidata.org/entity/Q2467723,hype man,Backup rapper and/or singer
http://www.wikidata.org/entity/Q11774891,ice hockey player,sportsperson taking part in ice hockey competitions
http://www.wikidata.org/entity/Q644687,illustrator,narrative artist who makes images for printed and electronic products
http://www.wikidata.org/entity/Q943995,impresario,"organizer and financier of concerts, plays, or operas"
http://www.wikidata.org/entity/Q3153626,inbetweener,occupation
http://www.wikidata.org/entity/Q11287574,industrial designer,profession
http://www.wikidata.org/entity/Q6606110,industrialist,owner or operator of a factory or manufacturing business
http://www.wikidata.org/entity/Q2906862,influencer,person who uses their social media activity to influence buying decisions
http://www.wikidata.org/entity/Q18074503,installation artist,artist specialized in installation art
http://www.wikidata.org/entity/Q103893954,interior architect,architect focusing on the arrangement and layout of spaces and architectural details inside architectural structures
http://www.wikidata.org/entity/Q2133309,interior designer,"person who designs the interior decoration of a room or building; who plans, researches, coordinates, and manages such projects"
http://www.wikidata.org/entity/Q205375,inventor,"person that devises a new device, method, composition, or process"
http://www.wikidata.org/entity/Q557880,investor,person who allocates capital with the expectation of a financial return
http://www.wikidata.org/entity/Q15981151,jazz musician,musician who plays jazz
http://www.wikidata.org/entity/Q336221,jeweler,person who sells or makes jewelry
http://www.wikidata.org/entity/Q2519376,jewelry designer,one who creates jewelry or designs for its manufacture
http://www.wikidata.org/entity/Q846750,jockey,someone who rides horses in horse racing or steeplechase racing
http://www.wikidata.org/entity/Q1930187,journalist,"person who collects, writes, and distributes news and other information"
http://www.wikidata.org/entity/Q16533,judge,official who presides over court proceedings
http://www.wikidata.org/entity/Q185351,jurist,"legal scholar or academic, a professional who studies, teaches, and develops law"
http://www.wikidata.org/entity/Q329455,justice of the peace,judicial officer elected or appointed to keep the peace and perform minor civic jobs
http://www.wikidata.org/entity/Q1075651,keyboardist,musician who plays keyboard instruments
http://www.wikidata.org/entity/Q11296761,kickboxer,sportsperson taking part in kickboxing competitions
http://www.wikidata.org/entity/Q58321742,knitter,occupation
http://www.wikidata.org/entity/Q2815948,landscape architect,"person involved in the planning, design and sometimes direction of a landscape, garden, or distinct space"
http://www.wikidata.org/entity/Q5322122,language advisor,
http://www.wikidata.org/entity/Q1549283,large estate owner,person that owns a significant piece of land
http://www.wikidata.org/entity/Q40348,lawyer,professional who practices law
http://www.wikidata.org/entity/Q28110454,layout artist,"the one in charge with the picture's appearance (staging, background design, camera positions, lighting) in animation film production"
http://www.wikidata.org/entity/Q16402902,leatherworker,occupation
http://www.wikidata.org/entity/Q1569495,lecturer,expert who is hired to teach on a full or part time basis
http://www.wikidata.org/entity/Q9379869,lecturer,"knowledgeable person who gives informative talks, as opposed to ceremonial or persuasive"
http://www.wikidata.org/entity/Q2135469,legal counselor,legal professional providing legal advice
http://www.wikidata.org/entity/Q969375,list of UNICEF Goodwill Ambassadors,"list of local, regional and internationally known public figures that are selected to promote the mission of UNICEF"
http://www.wikidata.org/entity/Q17167049,literary scholar,specialist in study of literature
http://www.wikidata.org/entity/Q16947657,lithographer,person who primarily uses lithography for making prints
http://www.wikidata.org/entity/Q822146,lyricist,writer of song lyrics
http://www.wikidata.org/entity/Q935666,make-up artist,"person who applies make-up, style and set hair, set and dress wigs and hairpieces, applies special effects make-up, prosthetic make-up for theatrical, television, film, fashion, magazines and similar productions"
http://www.wikidata.org/entity/Q2462658,manager,person whose job is to manage something
http://www.wikidata.org/entity/Q13235160,manufacturer,individual or organization that creates goods
http://www.wikidata.org/entity/Q17433551,mariner,member of a Marine Corps
http://www.wikidata.org/entity/Q1885941,media personality,person known to the public through their media appearances
http://www.wikidata.org/entity/Q17276321,member of the State Duma,member of the lower house of the Russian parliament
http://www.wikidata.org/entity/Q11774156,memoirist,type of autobiographer
http://www.wikidata.org/entity/Q107736950,mental health advocate,someone who advocates for mental health support
http://www.wikidata.org/entity/Q215536,merchant,businessperson who trades in commodities that were produced by others
http://www.wikidata.org/entity/Q15980591,metalworker,"craft/trade; one who works with metal to create art, tools, or other objects"
http://www.wikidata.org/entity/Q189290,military officer,member of an armed force or uniformed service who holds a position of authority
http://www.wikidata.org/entity/Q47064,military personnel,people who serve in an organized armed military force
http://www.wikidata.org/entity/Q674067,mime artist,someone who uses mime as a theatrical medium or in performance art
http://www.wikidata.org/entity/Q4610556,model,"person employed to display, advertise and promote products, or to serve as a visual aid"
http://www.wikidata.org/entity/Q18199649,modiste,"person who makes or sells women's clothing, especially dresses or hats"
http://www.wikidata.org/entity/Q15982858,motivational speaker,speaker intended to motivate the audience
http://www.wikidata.org/entity/Q3014296,motorcycle racer,person who for their profession or a hobby participates in competitions with a motorcycle
http://www.wikidata.org/entity/Q3566741,motorman,"person who operates an electrified trolley car, tram, light rail, or rapid transit train"
http://www.wikidata.org/entity/Q6934789,multimedia artist,artist working with different media
