occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q12049274,retail worker,person who works in the retail industry or business activity that generally sells to the public (consumer)
http://www.wikidata.org/entity/Q29017403,rock musician,musician playing rock music
http://www.wikidata.org/entity/Q3068305,salonnière,person who organizes or hosts a salon
http://www.wikidata.org/entity/Q51085009,scenic designer,occupation in stage and screen art
http://www.wikidata.org/entity/Q2707485,scenographer,person who develops the appearance of a stage design or a TV or movie set
http://www.wikidata.org/entity/Q18844224,science fiction writer,person who writes works of science fiction
http://www.wikidata.org/entity/Q19507792,scientific illustrator,"person who paints, sketches or otherwise illustrates scientifical subjects"
http://www.wikidata.org/entity/Q28389,screenwriter,"writer who writes for films, TV shows, comics and games"
http://www.wikidata.org/entity/Q1281618,sculptor,artist specializing in sculpture
http://www.wikidata.org/entity/Q67205775,seamstress,person employed to sew
http://www.wikidata.org/entity/Q622807,seiyū,Japanese voice actor or actress
http://www.wikidata.org/entity/Q21925567,serigrapher,artist who practices serigraphy
http://www.wikidata.org/entity/Q6409989,set decorator,person in charge of the set dressing on a film
http://www.wikidata.org/entity/Q500251,ship-owner,businessperson who owns or charters ships
http://www.wikidata.org/entity/Q67175841,shoe designer,person who designs footwear
http://www.wikidata.org/entity/Q7501153,shopkeeper,individual who owns or manages a shop
http://www.wikidata.org/entity/Q1440873,showrunner,person who is responsible for the day-to-day operation of a television show
http://www.wikidata.org/entity/Q2216340,silversmith,craftsperson who makes objects from silver or gold
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings own songs"
http://www.wikidata.org/entity/Q17502714,skateboarder,extreme sports athlete
http://www.wikidata.org/entity/Q13388442,skeleton racer,sportsperson taking part in skeleton races
http://www.wikidata.org/entity/Q13382603,ski jumper,sportsperson taking part in ski jumping competitions
http://www.wikidata.org/entity/Q19801627,ski mountaineer,person who races in ski mountaineering
http://www.wikidata.org/entity/Q12336252,social entrepreneur,occupation
http://www.wikidata.org/entity/Q10672931,social psychologist,profession
http://www.wikidata.org/entity/Q7019111,social worker,person who performs social work
http://www.wikidata.org/entity/Q512314,socialite,person of prominence in upper class society
http://www.wikidata.org/entity/Q753110,songwriter,person who writes the words or music to songs
http://www.wikidata.org/entity/Q3964987,soubrette,entertainer
http://www.wikidata.org/entity/Q19850998,sound artist,artist who uses sound as a medium
http://www.wikidata.org/entity/Q11762416,speech and language therapist,profession; person practicing speech-language pathology
http://www.wikidata.org/entity/Q17221,spokesperson,someone engaged or elected to speak on behalf of others
http://www.wikidata.org/entity/Q2309784,sport cyclist,someone who competes in the sport of cycling
http://www.wikidata.org/entity/Q1130252,sporting director,management role in sports clubs
http://www.wikidata.org/entity/Q144662,sports agent,agent who procures and negotiates employment and endorsement contracts for an athlete
http://www.wikidata.org/entity/Q26481809,sports executive,role concerned with the business side of sports
http://www.wikidata.org/entity/Q9352089,spy,person engaged obtaining information that is considered secret or confidential
http://www.wikidata.org/entity/Q2259451,stage actor,actor who performs live before an in-person audience
http://www.wikidata.org/entity/Q5762300,storyboard artist,person who creates storyboards for advertising agencies and film productions
http://www.wikidata.org/entity/Q865851,supermodel,highly paid fashion model
http://www.wikidata.org/entity/Q10843402,swimmer,sportsperson taking part in swimming competitions
http://www.wikidata.org/entity/Q13382533,taekwondo athlete,sportsperson taking part in taekwondo competitions
http://www.wikidata.org/entity/Q242468,tailor,"person who makes, repairs, or alters clothing professionally"
http://www.wikidata.org/entity/Q1344174,talent agent,"person who represents the interests of entertainment, broadcast, and sports professionals"
http://www.wikidata.org/entity/Q1320883,talent manager,person who guides the career of an artist
http://www.wikidata.org/entity/Q18668527,talk show host,person who hosts a talk show
http://www.wikidata.org/entity/Q64335473,tapestry designer,"occupation; person who designs the cartoons, modelli, or patterns from which tapestries are made"
http://www.wikidata.org/entity/Q21117684,tapestry weaver,artisan or artist who makes woven tapestries
http://www.wikidata.org/entity/Q2705098,tarento,celebrities who regularly appear in mass media in Japan
http://www.wikidata.org/entity/Q1861368,tattoo artist,individual who injects tattoo ink
http://www.wikidata.org/entity/Q37226,teacher,"person who helps others to acquire knowledge, competences or values"
http://www.wikidata.org/entity/Q10798782,television actor,actor who performs on television
http://www.wikidata.org/entity/Q19607300,television columnist,
http://www.wikidata.org/entity/Q2059704,television director,person who directs television programs
http://www.wikidata.org/entity/Q112120555,television maker,
http://www.wikidata.org/entity/Q44508716,television personality,person who is known to the public primarily through their appearances on television shows
http://www.wikidata.org/entity/Q947873,television presenter,person who introduces or hosts television programs
http://www.wikidata.org/entity/Q578109,television producer,occupation within video production for TV
http://www.wikidata.org/entity/Q73306227,television writer,person who writes scripts for television
http://www.wikidata.org/entity/Q13219424,tennis coach,individual who coaches tennis players
http://www.wikidata.org/entity/Q10833314,tennis player,sportsperson who plays tennis
http://www.wikidata.org/entity/Q10694573,textile artist,"person who creates art objects using plant, animal, or synthetic fibers"
http://www.wikidata.org/entity/Q23924332,textile conservator,"conservator-restorer charged with the care, treatment, research, and preservation of textiles"
http://www.wikidata.org/entity/Q18611810,textile designer,"person who designs printed, woven, or knitted textiles for production"
http://www.wikidata.org/entity/Q84315222,textile engineer,engineer specialized in textile engineering
http://www.wikidata.org/entity/Q23754015,textile manufacturer,businessperson in textile production
http://www.wikidata.org/entity/Q11613590,theatre designer,person who designs the visual environment of the stage in a play or opera
http://www.wikidata.org/entity/Q3387717,theatrical director,person overseeing the mounting of a theatre production
http://www.wikidata.org/entity/Q1759246,theatrical producer,person or firm that oversees the staging of theatre productions
http://www.wikidata.org/entity/Q66288471,trans activist,person who advocates for the rights of transgender people
http://www.wikidata.org/entity/Q333634,translator,person who translates written text from one language to another
http://www.wikidata.org/entity/Q115929318,travel journalist,person who writes travel articles
http://www.wikidata.org/entity/Q1229025,typographer,"typography worker; for the designer of fonts and type, see Q354034"
http://www.wikidata.org/entity/Q1622272,university teacher,person teaching at a university
http://www.wikidata.org/entity/Q18216771,video artist,person who creates video art
http://www.wikidata.org/entity/Q4110598,video blogger,type of blogger; person who makes webcast videos
http://www.wikidata.org/entity/Q106227216,video installation artist,
http://www.wikidata.org/entity/Q3391743,visual artist,artist involved with the visual arts
http://www.wikidata.org/entity/Q2405480,voice actor,"person who provides voice-overs for a character in films, animation, video games, or in other media"
http://www.wikidata.org/entity/Q15117302,volleyball player,sportsperson who plays volleyball
http://www.wikidata.org/entity/Q164236,war correspondent,journalist specializing in coverage of armed conflicts
http://www.wikidata.org/entity/Q3237618,wardrobe stylist,someone who selects the clothing for publications or public appearances
http://www.wikidata.org/entity/Q17505902,watercolorist,artist who works in watercolors
http://www.wikidata.org/entity/Q437512,weaver,person who weaves fabrics
http://www.wikidata.org/entity/Q1515551,wedding planner,profession
http://www.wikidata.org/entity/Q874894,window dresser,type of retail worker
http://www.wikidata.org/entity/Q119503382,woman author,woman with the occupation author
http://www.wikidata.org/entity/Q28692502,women's rights activist,person who advocates women's rights
http://www.wikidata.org/entity/Q6138343,wood carver,wood worker who carves
http://www.wikidata.org/entity/Q36180,writer,person who uses written words to communicate ideas and to produce literary works
http://www.wikidata.org/entity/Q1437754,xylographer,person who designs a wooden plate for printing
http://www.wikidata.org/entity/Q350979,zoologist,someone who studies or practices zoology
